GBCODE,W1,W2
110100,0.8736,0.1264
110112,0.6115,0.3885
110113,0.5378,0.4622
110221,0.524559741,0.475440259
110224,0.524559741,0.475440259
110226,0.524559741,0.475440259
110227,0.524559741,0.475440259
110228,0.5505,0.4495
110229,0.4864,0.5136
120100,0.8622,0.1378
120221,0.3662,0.6338
120222,0.38726886,0.61273114
120223,0.4529,0.5471
120224,0.38726886,0.61273114
120225,0.3443,0.6557
130101,0.506221991,0.493778009
130121,0.2963,0.7037
130123,0.4462,0.5538
130124,0.4196,0.5804
130125,0.2041,0.7959
130126,0.2678,0.7322
130127,0.2521,0.7479
130128,0.2885,0.7115
130129,0.2052,0.7948
130130,0.2443,0.7557
130131,0.3035,0.6965
130132,0.2405,0.7595
130133,0.3073,0.6927
130181,0.3842,0.6158
130182,0.3692,0.6308
130183,0.2981,0.7019
130184,0.3988,0.6012
130185,0.4056,0.5944
130201,0.508225963,0.491774037
130221,0.508225963,0.491774037
130223,0.3756,0.6244
130224,0.339,0.661
130225,0.2939,0.7061
130227,0.4104,0.5896
130229,0.4146,0.5854
130230,0.5901,0.4099
130281,0.4067,0.5933
130282,0.406722559,0.593277441
130283,0.4241,0.5759
130301,0.475125393,0.524874607
130321,0.2308,0.7692
130322,0.2696,0.7304
130323,0.2334,0.7666
130324,0.17,0.83
130401,0.434422203,0.565577797
130421,0.5495,0.4505
130423,0.3232,0.6768
130424,0.366,0.634
130425,0.2861,0.7139
130426,0.4282,0.5718
130427,0.3751,0.6249
130428,0.2339,0.7661
130429,0.3091,0.6909
130430,0.3613,0.6387
130431,0.2792,0.7208
130432,0.2787,0.7213
130433,0.3709,0.6291
130434,0.375,0.625
130481,0.3579,0.6421
130485,0.357937729,0.642062271
130501,0.400161006,0.599838994
130521,0.3878,0.6122
130522,0.3107,0.6893
130523,0.3166,0.6834
130524,0.2811,0.7189
130525,0.3409,0.6591
130526,0.3224,0.6776
130527,0.3241,0.6759
130528,0.3377,0.6623
130529,0.3399,0.6601
130530,0.3073,0.6927
130531,0.2079,0.7921
130532,0.3123,0.6877
130533,0.2201,0.7799
130534,0.4369,0.5631
130535,0.3467,0.6533
130581,0.4014,0.5986
130582,0.4393,0.5607
130601,0.387724753,0.612275247
130621,0.343,0.657
130622,0.3477,0.6523
130623,0.2949,0.7051
130624,0.1964,0.8036
130625,0.3442,0.6558
130626,0.2338,0.7662
130627,0.2328,0.7672
130628,0.2911,0.7089
130629,0.3836,0.6164
130630,0.2977,0.7023
130631,0.2979,0.7021
130632,0.3828,0.6172
130633,0.2348,0.7652
130634,0.2111,0.7889
130635,0.3248,0.6752
130636,0.2169,0.7831
130637,0.3036,0.6964
130638,0.3871,0.6129
130681,0.4316,0.5684
130682,0.4138,0.5862
130683,0.366,0.634
130684,0.4293,0.5707
130701,0.451606668,0.548393332
130721,0.2989,0.7011
130722,0.3238,0.6762
130723,0.2537,0.7463
130724,0.2209,0.7791
130725,0.2453,0.7547
130726,0.3249,0.6751
130727,0.3216,0.6784
130728,0.3579,0.6421
130729,0.4372,0.5628
130730,0.3884,0.6116
130731,0.2792,0.7208
130732,0.2629,0.7371
130733,0.3309,0.6691
130801,0.386704657,0.613295343
130821,0.2602,0.7398
130822,0.3043,0.6957
130823,0.3052,0.6948
130824,0.2773,0.7227
130825,0.2587,0.7413
130826,0.2783,0.7217
130827,0.3466,0.6534
130828,0.2544,0.7456
130901,0.4083,0.5917
130921,0.161,0.839
130922,0.4392,0.5608
130923,0.4147,0.5853
130924,0.3038,0.6962
130925,0.3529,0.6471
130926,0.377,0.623
130927,0.2581,0.7419
130928,0.3122,0.6878
130929,0.2437,0.7563
130930,0.424,0.576
130981,0.4419,0.5581
130982,0.5239,0.4761
130983,0.5414,0.4586
130984,0.3005,0.6995
131001,0.4853,0.5147
131022,0.4098,0.5902
131023,0.3279,0.6721
131024,0.5183,0.4817
131025,0.3587,0.6413
131026,0.4335,0.5665
131028,0.4281,0.5719
131081,0.4683,0.5317
131082,0.5934,0.4066
131100,0.3819,0.6181
131121,0.3326,0.6674
131122,0.2543,0.7457
131123,0.2387,0.7613
131124,0.2938,0.7062
131125,0.3491,0.6509
131126,0.3258,0.6742
131127,0.3458,0.6542
131128,0.2746,0.7254
131181,0.4568,0.5432
131182,0.3673,0.6327
140101,0.4805,0.5195
140121,0.2749,0.7251
140122,0.2982,0.7018
140123,0.3524,0.6476
140181,0.7125,0.2875
140201,0.5492,0.4508
140221,0.3146,0.6854
140222,0.3104,0.6896
140223,0.1811,0.8189
140224,0.2115,0.7885
140225,0.3082,0.6918
140226,0.4068,0.5932
140227,0.313,0.687
140301,0.6001,0.3999
140321,0.3102,0.6898
140322,0.3007,0.6993
140401,0.4184,0.5816
140421,0.2611,0.7389
140423,0.3798,0.6202
140424,0.2825,0.7175
140425,0.2067,0.7933
140426,0.3204,0.6796
140427,0.2022,0.7978
140428,0.2157,0.7843
140429,0.2532,0.7468
140430,0.3091,0.6909
140431,0.334,0.666
140481,0.4676,0.5324
140501,0.5104,0.4896
140521,0.3303,0.6697
140522,0.3806,0.6194
140524,0.3186,0.6814
140581,0.4402,0.5598
140601,0.4628,0.5372
140621,0.4334,0.5666
140622,0.2776,0.7224
140623,0.4569,0.5431
140624,0.5086,0.4914
140902,0.5138,0.4862
140981,0.4124,0.5876
140921,0.2973,0.7027
140922,0.254,0.746
140923,0.3527,0.6473
140924,0.357,0.643
140925,0.4075,0.5925
140926,0.2884,0.7116
140927,0.2886,0.7114
140928,0.3684,0.6316
140929,0.3915,0.6085
140930,0.4039,0.5961
140931,0.3157,0.6843
140932,0.3918,0.6082
141181,0.5722,0.4278
141102,0.7812,0.2188
141182,0.3585,0.6415
141121,0.2607,0.7393
141122,0.4478,0.5522
141123,0.2854,0.7146
141124,0.2061,0.7939
141125,0.3038,0.6962
141126,0.3475,0.6525
141127,0.2478,0.7522
141128,0.2511,0.7489
141129,0.5599,0.4401
141130,0.3229,0.6771
140701,0.4412,0.5588
140781,0.5714,0.4286
140721,0.296,0.704
140722,0.3633,0.6367
140723,0.3883,0.6117
140724,0.2622,0.7378
140725,0.2959,0.7041
140726,0.3882,0.6118
140727,0.3057,0.6943
140728,0.3423,0.6577
140729,0.4274,0.5726
141001,0.4078,0.5922
141081,0.5709,0.4291
141082,0.5544,0.4456
141021,0.3029,0.6971
141022,0.2885,0.7115
141023,0.308,0.692
141024,0.3282,0.6718
141025,0.3195,0.6805
141026,0.3188,0.6812
141027,0.293,0.707
141028,0.2548,0.7452
141029,0.2687,0.7313
141033,0.3806,0.6194
141030,0.3647,0.6353
141032,0.33,0.67
141031,0.3592,0.6408
141034,0.3532,0.6468
140801,0.3756,0.6244
140881,0.4026,0.5974
140882,0.4445,0.5555
140830,0.3839,0.6161
140821,0.3203,0.6797
140822,0.1982,0.8018
140825,0.331,0.669
140824,0.2885,0.7115
140823,0.3859,0.6141
140828,0.2232,0.7768
140826,0.4423,0.5577
140829,0.2242,0.7758
140827,0.3979,0.6021
150101,0.6247,0.3753
150121,0.2831,0.7169
150122,0.3609,0.6391
150123,0.3009,0.6991
150124,0.3675,0.6325
150125,0.4323,0.5677
150201,0.7949,0.2051
150221,0.3914,0.6086
150222,0.3077,0.6923
150223,0.4352,0.5648
150301,0.9433,0.0567
150401,0.4116,0.5884
150421,0.2918,0.7082
150422,0.2754,0.7246
150423,0.483,0.517
150424,0.495,0.505
150425,0.3708,0.6292
150426,0.2851,0.7149
150428,0.315,0.685
150429,0.2157,0.7843
150430,0.2169,0.7831
150702,0.9491,0.0509
150781,0.9958,0.0042
150701,0.6758,0.3242
150784,0.7184,0.2816
152122,0.2981,0.7019
150722,0.263,0.737
150723,0.6756,0.3244
150724,0.8125,0.1875
150727,0.6144,0.3856
150726,0.4889,0.5111
150725,0.6558,0.3442
152201,0.8451,0.1549
152221,0.1752,0.8248
152222,0.3889,0.6111
152223,0.3128,0.6872
152224,0.2667,0.7333
150501,0.4039,0.5961
150581,0.993,0.007
150521,0.2881,0.7119
150522,0.2835,0.7165
150523,0.2815,0.7185
150524,0.334,0.666
150525,0.2748,0.7252
150526,0.3311,0.6689
152501,0.9633,0.0367
152502,0.8719,0.1281
152522,0.4534,0.5466
152523,0.4899,0.5101
152524,0.7147,0.2853
152525,0.5746,0.4254
152526,0.5045,0.4955
152527,0.342,0.658
152528,0.6419,0.3581
152529,0.3857,0.6143
152530,0.4967,0.5033
152531,0.3866,0.6134
150902,0.8978,0.1022
150981,0.5041,0.4959
150921,0.3103,0.6897
150922,0.4529,0.5471
150923,0.3421,0.6579
150924,0.2426,0.7574
150925,0.2584,0.7416
150927,0.2153,0.7847
150928,0.3494,0.6506
150929,0.347,0.653
150602,0.8759,0.1241
150621,0.6343,0.3657
150622,0.5928,0.4072
150623,0.5609,0.4391
150624,0.8023,0.1977
150625,0.5311,0.4689
150626,0.5021,0.4979
150627,0.6357,0.3643
150802,0.6544,0.3456
150821,0.4581,0.5419
150822,0.4554,0.5446
150823,0.3631,0.6369
150824,0.4152,0.5848
150825,0.5634,0.4366
150826,0.3188,0.6812
152921,0.7449,0.2551
152922,0.6715,0.3285
152923,0.7985,0.2015
210101,0.7707,0.2293
210122,0.3622,0.6378
210123,0.2882,0.7118
210124,0.2308,0.7692
210181,0.2637,0.7363
210201,0.7442,0.2558
210224,0.4949,0.5051
210281,0.4393,0.5607
210282,0.4316,0.5684
210283,0.3616,0.6384
210301,0.6717,0.3283
210321,0.304,0.696
210323,0.3277,0.6723
210381,0.5311,0.4689
210401,0.7164,0.2836
210421,0.0873,0.9127
210422,0.3319,0.6681
210423,0.3941,0.6059
210501,0.7436,0.2564
210521,0.5357,0.4643
210522,0.3524,0.6476
210601,0.6034,0.3966
210624,0.3953,0.6047
210681,0.4637,0.5363
210682,0.4545,0.5455
210701,0.4786,0.5214
210726,0.3168,0.6832
210727,0.2362,0.7638
210781,0.2651,0.7349
210782,0.2468,0.7532
210801,0.5885,0.4115
210881,0.3159,0.6841
210882,0.4686,0.5314
210901,0.5248,0.4752
210921,0.1762,0.8238
210922,0.2399,0.7601
211001,0.559,0.441
211021,0.2457,0.7543
211081,0.3287,0.6713
211101,0.6596,0.3404
211121,0.4515,0.5485
211122,0.2121,0.7879
211201,0.4216,0.5784
211221,0.1811,0.8189
211223,0.2441,0.7559
211224,0.2109,0.7891
211281,0.8105,0.1895
211282,0.4443,0.5557
211301,0.3811,0.6189
211321,0.0953,0.9047
211322,0.3183,0.6817
211324,0.2957,0.7043
211381,0.3398,0.6602
211382,0.3511,0.6489
211401,0.4154,0.5846
211421,0.2897,0.7103
211422,0.1827,0.8173
211481,0.3264,0.6736
220101,0.5548,0.4452
220112,0.3433,0.6567
220122,0.1865,0.8135
220181,0.3251,0.6749
220182,0.2421,0.7579
220183,0.2512,0.7488
220201,0.5633,0.4367
220221,0.3504,0.6496
220281,0.451,0.549
220282,0.4351,0.5649
220284,0.4508,0.5492
220301,0.4157,0.5843
220322,0.3256,0.6744
220323,0.2622,0.7378
220381,0.3091,0.6909
220382,0.4295,0.5705
220401,0.5067,0.4933
220421,0.3634,0.6366
220422,0.2349,0.7651
220501,0.5326,0.4674
220521,0.4458,0.5542
220523,0.4809,0.5191
220524,0.3137,0.6863
220581,0.4361,0.5639
220582,0.4132,0.5868
220601,0.7483,0.2517
220621,0.7339,0.2661
220622,0.5555,0.4445
220623,0.5703,0.4297
220721,0.2829,0.7171
220722,0.3109,0.6891
220723,0.3702,0.6298
220724,0.229,0.771
220800,0.4839,0.5161
220821,0.4193,0.5807
220822,0.3724,0.6276
220881,0.3818,0.6182
220882,0.4694,0.5306
222401,0.898,0.102
222402,0.8132,0.1868
222403,0.6069,0.3931
222404,0.7211,0.2789
222405,0.6887,0.3113
222406,0.5927,0.4073
222424,0.6089,0.3911
222426,0.5528,0.4472
230101,0.6113,0.3887
230121,0.3751,0.6249
230123,0.3751,0.6249
230124,0.4518,0.5482
230125,0.2649,0.7351
230126,0.2437,0.7563
230127,0.27,0.73
230128,0.4843,0.5157
230129,0.3698,0.6302
230181,0.2966,0.7034
230182,0.2966,0.7034
230183,0.4607,0.5393
230184,0.2949,0.7051
230201,0.4409,0.5591
230221,0.2326,0.7674
230223,0.227,0.773
230224,0.3154,0.6846
230225,0.2786,0.7214
230227,0.3939,0.6061
230229,0.222,0.778
230230,0.2971,0.7029
230231,0.194,0.806
230281,0.3734,0.6266
230301,0.6568,0.3432
230321,0.3893,0.6107
230381,0.6072,0.3928
230382,0.4335,0.5665
230401,0.7659,0.2341
230421,0.6226,0.3774
230422,0.4187,0.5813
230501,0.6091,0.3909
230521,0.3816,0.6184
230522,0.595,0.405
230523,0.3724,0.6276
230524,0.5361,0.4639
230601,0.6359,0.3641
230621,0.3015,0.6985
230622,0.3528,0.6472
230623,0.3008,0.6992
230624,0.3663,0.6337
230701,0.84,0.16
230722,0.5136,0.4864
230781,0.6731,0.3269
230801,0.5311,0.4689
230822,0.2865,0.7135
230826,0.4226,0.5774
230828,0.4493,0.5507
230833,0.5875,0.4125
230881,0.5553,0.4447
230882,0.4923,0.5077
230901,0.6772,0.3228
230921,0.3996,0.6004
231001,0.5754,0.4246
231024,0.5601,0.4399
231025,0.3278,0.6722
231081,0.9701,0.0299
231083,0.5404,0.4596
231084,0.2937,0.7063
231085,0.3849,0.6151
231100,0.5258,0.4742
231121,0.5075,0.4925
231123,0.3518,0.6482
231124,0.4758,0.5242
231181,0.5693,0.4307
231182,0.4549,0.5451
231201,0.3322,0.6678
231281,0.4727,0.5273
231282,0.3971,0.6029
231283,0.2449,0.7551
231221,0.2434,0.7566
231222,0.2307,0.7693
231223,0.2686,0.7314
231224,0.2983,0.7017
231225,0.2838,0.7162
231226,0.3676,0.6324
232721,0.559,0.441
232722,0.8811,0.1189
232723,0.8549,0.1451
310100,0.906,0.094
310112,1,0
310114,0.8315,0.1685
310116,0.6176,0.3824
310117,0.8486,0.1514
310120,0.5875,0.4125
310118,0.7543,0.2457
310230,0.4794,0.5206
320101,0.7794,0.2206
320115,0.6413,0.3587
320111,0.6389,0.3611
320116,0.4941,0.5059
320124,0.4899,0.5101
320125,0.4888,0.5112
320201,0.7031,0.2969
320281,0.6355,0.3645
320282,0.575,0.425
320205,0.6395,0.3605
320301,0.5318,0.4682
320321,0.4055,0.5945
320322,0.4343,0.5657
320312,0.4414,0.5586
320324,0.4102,0.5898
320381,0.4368,0.5632
320382,0.4332,0.5668
320401,0.6317,0.3683
320481,0.4915,0.5085
320482,0.4985,0.5015
320412,0.5202,0.4798
320501,0.7007,0.2993
320581,0.6151,0.3849
320582,0.6117,0.3883
320583,0.6801,0.3199
320584,0.6137,0.3863
320585,0.6114,0.3886
320600,0.558,0.442
320601,0.558,0.442
320621,0.4905,0.5095
320623,0.4811,0.5189
320681,0.4928,0.5072
320682,0.4853,0.5147
320684,0.5,0.5
320701,0.5176,0.4824
320721,0.4354,0.5646
320722,0.4186,0.5814
320723,0.3919,0.6081
320724,0.3912,0.6088
320801,0.5079,0.4921
320804,0.4215,0.5785
320826,0.3915,0.6085
320829,0.4483,0.5517
320830,0.4382,0.5618
320831,0.4462,0.5538
320903,0.5368,0.4632
320921,0.4419,0.5581
320922,0.4337,0.5663
320923,0.4485,0.5515
320924,0.4737,0.5263
320925,0.4786,0.5214
320981,0.4946,0.5054
320982,0.4916,0.5084
321001,0.5675,0.4325
321023,0.4434,0.5566
321003,0.5339,0.4661
321081,0.4822,0.5178
321084,0.458,0.542
321088,0.5035,0.4965
321101,0.6197,0.3803
321112,0.4845,0.5155
321181,0.5211,0.4789
321182,0.5367,0.4633
321183,0.4841,0.5159
321200,0.5564,0.4436
321281,0.4589,0.5411
321282,0.5671,0.4329
321283,0.515,0.485
321284,0.517,0.483
321300,0.4829,0.5171
321322,0.4742,0.5258
321323,0.4667,0.5333
321324,0.4143,0.5857
330101,0.7325,0.2675
330122,0.5632,0.4368
330127,0.3286,0.6714
330109,0.6631,0.3369
330182,0.426,0.574
330183,0.5799,0.4201
330110,0.609,0.391
330185,0.4787,0.5213
330211,0.5712,0.4288
330225,0.5487,0.4513
330226,0.562,0.438
330411,0.494,0.506
330281,0.6658,0.3342
330282,0.7248,0.2752
330283,0.4881,0.5119
330301,0.6602,0.3398
330304,0.8657,0.1343
330322,0.447,0.553
330324,0.5598,0.4402
330326,0.4925,0.5075
330327,0.5472,0.4528
330328,0.3956,0.6044
330329,0.4012,0.5988
330381,0.6509,0.3491
330382,0.5225,0.4775
330401,0.5333,0.4667
330421,0.5026,0.4974
330424,0.4744,0.5256
330481,0.4928,0.5072
330482,0.5163,0.4837
330483,0.4908,0.5092
330501,0.5289,0.4711
330521,0.5003,0.4997
330522,0.4897,0.5103
330523,0.4749,0.5251
330601,0.5858,0.4142
330621,0.6703,0.3297
330624,0.5245,0.4755
330681,0.5239,0.4761
330682,0.5024,0.4976
330683,0.5085,0.4915
330701,0.5897,0.4103
330703,0.4677,0.5323
330723,0.6186,0.3814
330726,0.5619,0.4381
330727,0.399,0.601
330781,0.3716,0.6284
330782,0.7122,0.2878
330783,0.5668,0.4332
330784,0.52,0.48
330801,0.4413,0.5587
330803,0.2948,0.7052
330822,0.3773,0.6227
330824,0.3796,0.6204
330825,0.3579,0.6421
330881,0.4282,0.5718
330902,0.6587,0.3413
330921,0.6104,0.3896
330922,0.6238,0.3762
331003,0.6437,0.3563
331002,0.6174,0.3826
331021,0.5876,0.4124
331022,0.4258,0.5742
331023,0.5065,0.4935
331024,0.5182,0.4818
331081,0.548,0.452
331082,0.4893,0.5107
332501,0.484,0.516
331181,0.4997,0.5003
331121,0.4311,0.5689
331125,0.5807,0.4193
331126,0.4596,0.5404
331122,0.4285,0.5715
331123,0.396,0.604
331124,0.3576,0.6424
331127,0.4036,0.5964
340101,0.6817,0.3183
340121,0.2804,0.7196
340122,0.3517,0.6483
340123,0.346,0.654
340221,0.3812,0.6188
340222,0.4384,0.5616
340223,0.3508,0.6492
340301,0.4341,0.5659
340321,0.2446,0.7554
340322,0.3118,0.6882
340323,0.248,0.752
340401,0.6179,0.3821
340421,0.3053,0.6947
340501,0.6876,0.3124
340521,0.4507,0.5493
340601,0.5295,0.4705
340621,0.2646,0.7354
340701,0.7269,0.2731
340721,0.3497,0.6503
340801,0.3678,0.6322
340822,0.3738,0.6262
340823,0.2265,0.7735
340824,0.3314,0.6686
340825,0.2281,0.7719
340826,0.2973,0.7027
340827,0.3295,0.6705
340828,0.2347,0.7653
340881,0.4054,0.5946
341001,0.4085,0.5915
341021,0.2871,0.7129
341022,0.2827,0.7173
341023,0.352,0.648
341024,0.3224,0.6776
341100,0.415,0.585
341122,0.3349,0.6651
341124,0.453,0.547
341125,0.2747,0.7253
341126,0.2796,0.7204
341181,0.5385,0.4615
341182,0.3835,0.6165
341200,0.3149,0.6851
341201,0.3149,0.6851
341221,0.1987,0.8013
341222,0.3408,0.6592
341621,0.264,0.736
341622,0.2569,0.7431
341225,0.2292,0.7708
341226,0.3005,0.6995
341623,0.2499,0.7501
341601,0.2801,0.7199
341282,0.3822,0.6178
341301,0.3121,0.6879
341321,0.3585,0.6415
341322,0.2185,0.7815
341323,0.2526,0.7474
341324,0.1849,0.8151
341501,0.3483,0.6517
341521,0.3498,0.6502
341522,0.2145,0.7855
341523,0.3997,0.6003
341524,0.3068,0.6932
341525,0.5945,0.4055
341802,0.4078,0.5922
341881,0.6132,0.3868
341821,0.3245,0.6755
341822,0.4617,0.5383
341823,0.3755,0.6245
341825,0.3719,0.6281
341824,0.4114,0.5886
341401,0.4065,0.5935
341421,0.3983,0.6017
341422,0.3594,0.6406
341423,0.3338,0.6662
341424,0.4125,0.5875
341702,0.4857,0.5143
341721,0.4371,0.5629
341722,0.3199,0.6801
341723,0.4034,0.5966
350101,0.6195,0.3805
350121,0.4451,0.5549
350122,0.3521,0.6479
350123,0.3677,0.6323
